 m_0     m_1/2     m_~q       m_~g           2jets            3jets                 4jets
800  225  926.2  600.5  29.8238  60.6031  70.6479
800  250  954.0  657.8  22.6120  44.5581  49.5005
800  275  983.5  714.3  20.5175  36.7871  39.8196
800  300  1014.4  770.1  17.3001  29.3919  31.0355
800  325  1046.6  825.2  13.6593  21.6068  22.0728
800  350  1079.9  879.5  11.0923  16.9296  16.7178
800  375  1114.2  934.0  9.0191  12.7315  12.8031
800  400  1149.4  988.1  6.8436  8.9094  8.6613
800  450  1222.0  1095.2  4.4098  5.2019  4.9216
800  500  1297.0  1201.2  2.8216  3.0747  2.7511
800  550  1373.7  1306.0  1.6997  1.7300  1.4494
800  600  1451.9  1409.8  0.9887  0.9562  0.7587
800  650  1531.2  1512.8  0.5182  0.4863  0.3730
800  700  1611.2  1614.9  0.2712  0.2488  0.1869
800  750  1691.9  1716.7  0.1350  0.1227  0.0909
800  800  1772.9  1802.6  0.0696  0.0629  0.0465
800  900  1936.2  2019.1  0.0160  0.0141  0.0101
800  1000  2100.1  2218.6  0.0036  0.0031  0.0022
800  1100  2264.2  2416.4  0.0007  0.0006  0.0004
800  1200  2428.2  2612.4  0.0001  0.0001  0.0001
900  100  915.3  299.1  58.4669  158.2180  176.3580
900  150  946.2  425.2  50.3896  99.7062  114.2440
900  200  986.9  545.7  31.6793  64.3543  73.3762
900  225  1010.4  604.4  24.1909  48.0579  54.6744
900  250  1035.7  662.1  18.5911  34.5759  38.0597
900  275  1062.7  719.1  14.3986  26.2958  27.7677
900  300  1091.2  775.3  12.4159  20.7845  21.6446
900  325  1121.0  830.9  9.4784  15.2397  15.3654
900  350  1152.1  885.8  7.5179  11.4901  11.6049
900  375  1184.2  939.8  6.0588  8.5525  8.5291
900  400  1217.3  994.2  4.7896  6.5515  6.3116
900  450  1285.9  1101.7  2.7076  3.4083  3.2798
900  500  1357.3  1207.9  1.6758  1.9417  1.8146
900  550  1430.8  1313.1  1.0273  1.1182  1.0014
900  600  1506.0  1417.2  0.6109  0.6211  0.5284
900  650  1582.6  1520.5  0.3448  0.3327  0.2640
900  700  1660.3  1622.9  0.1887  0.1764  0.1356
900  750  1738.8  1724.5  0.0157  0.0144  0.0109
900  800  1818.0  1825.7  0.0489  0.0444  0.0330
900  900  1977.7  2026.6  0.0115  0.0102  0.0074
900  1000  2138.7  2225.8  0.0026  0.0023  0.0016
900  1100  2300.2  2423.4  0.0005  0.0004  0.0003
900  1200  2461.9  2619.3  0.0000  0.0000  0.0000
1000  100  1011.2  300.5  42.8275  115.1210  121.2050
1000  150  1038.9  427.3  40.0546  83.1265  92.5976
1000  200  1075.7  548.8  25.9779  50.7467  56.5481
1000  225  1097.1  607.8  19.0159  36.2637  39.4419
1000  250  1120.2  666.0  14.1381  26.0601  27.5808
1000  275  1145.0  723.3  11.7504  19.7239  21.1449
1000  300  1171.4  779.9  9.1481  15.4786  15.9017
1000  325  1199.1  835.9  6.6613  10.8268  10.7943
1000  350  1228.0  891.2  5.4836  8.4990  8.2314
1000  375  1258.0  946.0  4.2337  6.2635  6.0735
1000  400  1289.1  1000.1  3.3468  4.7057  4.5019
1000  450  1354.0  1107.8  1.8427  2.3774  2.2733
1000  500  1421.8  1214.4  1.0497  1.2724  1.1978
1000  550  1492.0  1319.8  0.6181  0.7020  0.6411
1000  600  1564.3  1424.2  0.3735  0.3996  0.3548
1000  650  1638.2  1527.7  0.2139  0.2186  0.1873
1000  700  1713.3  1630.4  0.1218  0.1182  0.0968
1000  750  1789.6  1732.4  0.0655  0.0616  0.0481
1000  800  1866.7  1833.6  0.0334  0.0307  0.0232
1000  900  2022.9  2034.4  0.0081  0.0072  0.0053
1000  1000  2180.7  2233.4  0.0017  0.0015  0.0011
1000  1100  2339.6  2430.9  0.0003  0.0003  0.0002
1000  1200  2498.9  2626.7  0.0001  0.0001  0.0000
1100  100  1107.6  301.8  55.2560  79.8633  94.6671
1100  150  1132.8  429.5  29.4399  58.4615  67.0506
1100  200  1166.2  551.6  21.8281  40.6044  49.0128
1100  225  1185.8  611.0  14.4955  27.9260  31.1312
1100  250  1207.1  669.4  11.0784  20.4350  22.0966
1100  275  1229.9  727.1  8.8035  15.7597  16.7355
1100  300  1254.3  784.1  6.7761  12.0819  12.5261
1100  325  1280.0  840.4  5.1919  8.4077  8.4651
1100  350  1307.0  896.1  3.9455  6.1452  5.9195
1100  375  1335.1  951.2  3.0446  4.4723  4.2720
1100  400  1364.3  1005.8  2.3851  3.3815  3.1747
1100  450  1425.5  1113.5  1.3237  1.7558  1.6319
1100  500  1489.9  1220.4  0.7359  0.9018  0.8369
1100  550  1557.0  1326.2  0.4013  0.4691  0.4361
1100  600  1626.3  1430.9  0.2318  0.2569  0.2335
1100  650  1697.5  1534.6  0.1293  0.1388  0.1227
1100  700  1770.1  1637.6  0.0742  0.0757  0.0649
1100  750  1844.1  1739.8  0.0413  0.0406  0.0338
1100  800  1919.0  1841.3  0.0220  0.0207  0.0166
1100  900  2071.4  2042.3  0.0054  0.0049  0.0036
1100  1000  2226.1  2241.3  0.0012  0.0011  0.0008
1100  1100  2382.1  2438.6  0.0002  0.0002  0.0001
1100  1200  2539.0  2634.4  0.0000  0.0000  0.0000
1200  100  1204.5  303.0  44.7759  87.9852  73.6791
1200  150  1227.5  431.3  26.4595  56.3848  61.4949
1200  200  1258.1  554.1  16.9003  30.9145  35.5579
1200  225  1276.1  613.8  12.2032  23.8824  27.6010
1200  250  1295.7  672.6  8.6176  15.5582  17.3176
1200  275  1316.9  730.6  6.8127  12.2922  13.6796
1200  300  1339.5  787.9  5.3497  9.3779  9.5776
1200  325  1363.4  844.5  3.8417  6.4035  6.4113
1200  350  1388.6  900.5  2.9775  4.6845  4.5631
1200  375  1415.0  956.0  2.3103  3.4435  3.2678
1200  400  1442.4  1010.9  1.7734  2.4974  2.3470
1200  450  1500.2  1119.3  0.9601  1.2588  1.1576
1200  500  1561.4  1226.1  0.5092  0.6379  0.5911
1200  550  1625.4  1332.2  0.2722  0.3234  0.2952
1200  600  1691.8  1437.2  0.1450  0.1665  0.1487
1200  650  1760.2  1541.3  0.0825  0.0917  0.0825
1200  700  1830.3  1644.4  0.0448  0.0476  0.0426
1200  750  1901.9  1746.8  0.0248  0.0252  0.0220
1200  800  1974.7  1848.6  0.0132  0.0129  0.0108
1200  900  2123.1  2050.1  0.0034  0.0032  0.0025
1200  1000  2274.5  2249.2  0.0008  0.0007  0.0005
1200  1100  2427.7  2446.6  0.0000  0.0000  0.0000
1200  1200  2582.0  2642.3  0.0000  0.0000  0.0000
1300  100  1301.8  304.0  13.2776  35.2734  19.0229
1300  150  1322.9  433.0  20.7900  39.7107  46.1028
1300  200  1351.0  556.3  12.5363  23.5891  28.6170
1300  225  1367.6  616.4  10.4862  19.1901  22.3822
1300  250  1385.8  675.5  6.4633  12.5114  14.6701
1300  275  1405.4  733.8  5.6075  10.3917  11.0215
1300  300  1426.5  791.4  4.3793  7.7177  8.3414
1300  325  1448.8  848.3  2.9693  5.0665  5.2462
1300  350  1472.4  904.6  2.2836  3.6331  3.6060
1300  375  1497.2  960.3  1.7996  2.6905  2.5942
1300  400  1523.0  1015.5  1.3572  1.9167  1.8319
1300  450  1577.6  1124.6  0.7291  0.9524  0.8731
1300  500  1635.6  1231.7  0.3845  0.4732  0.4299
1300  550  1696.7  1338.0  0.1927  0.2334  0.2091
1300  600  1760.2  1443.3  0.1013  0.1165  0.1046
1300  650  1826.0  1547.6  0.0550  0.0609  0.0544
1300  700  1893.7  1651.0  0.0294  0.0314  0.0282
1300  750  1962.9  1753.7  0.0152  0.0160  0.0141
1300  800  2033.5  1855.6  0.0082  0.0083  0.0073
1300  900  2177.9  2057.5  0.0021  0.0020  0.0017
1300  1000  2325.8  2257.0  0.0005  0.0004  0.0003
1300  1100  2476.0  2454.5  0.0000  0.0000  0.0000
1300  1200  2627.8  2650.4  0.0000  0.0000  0.0000
1400  100  1399.2  305.0  14.9310  31.4425  54.1260
1400  150  1418.7  434.5  12.6662  26.1075  38.0455
1400  200  1444.8  558.2  10.7449  21.6777  26.7424
1400  225  1460.2  618.7  7.5107  15.9104  20.0706
1400  250  1477.1  678.2  5.2904  10.8661  12.6660
1400  275  1495.4  736.7  4.2286  8.2139  9.6481
1400  300  1515.0  794.6  3.2855  6.2250  6.9243
1400  325  1535.9  851.7  2.4432  4.2185  4.5580
1400  350  1558.1  908.3  1.7598  2.9425  2.9454
1400  375  1581.3  964.3  1.3974  2.1209  2.0576
1400  400  1605.7  1019.8  1.0022  1.4633  1.3824
1400  450  1657.3  1129.4  0.5585  0.7236  0.6710
1400  500  1712.4  1237.3  0.2800  0.3462  0.3093
1400  550  1770.6  1343.5  0.1459  0.1732  0.1526
1400  600  1831.5  1449.1  0.0770  0.0862  0.0768
1400  650  1894.6  1553.6  0.0376  0.0412  0.0372
1400  700  1959.8  1657.3  0.0193  0.0207  0.0185
1400  750  2026.7  1760.2  0.0096  0.0102  0.0091
1400  800  2095.1  1862.3  0.0049  0.0051  0.0044
1400  900  2235.6  2064.6  0.0013  0.0013  0.0011
1400  1000  2379.9  2264.6  0.0003  0.0003  0.0002
1400  1100  2527.1  2462.4  0.0000  0.0000  0.0000
1400  1200  2676.1  2658.4  0.0000  0.0000  0.0000
1500  100  1496.9  306.0  23.9211  47.7085  43.5146
1500  150  1515.0  436.0  10.7037  24.7138  30.8411
1500  200  1539.3  560.4  8.7329  18.6734  24.3434
1500  225  1553.6  620.7  6.2767  14.1381  17.9826
1500  250  1569.4  680.6  4.6079  9.3361  11.4406
1500  275  1586.5  739.5  3.5158  7.0038  8.6099
1500  300  1604.9  797.6  2.7500  5.3632  6.1543
1500  325  1624.5  855.0  1.9340  3.6326  3.9038
1500  350  1645.3  911.8  1.4802  2.5282  2.6430
1500  375  1667.2  968.1  1.0852  1.7302  1.7421
1500  400  1690.1  1023.8  0.8281  1.2041  1.1572
1500  450  1739.0  1133.9  0.4294  0.5725  0.5343
1500  500  1791.4  1242.3  0.2124  0.2664  0.2394
1500  550  1846.9  1349.1  0.1085  0.1288  0.1142
1500  600  1905.2  1454.6  0.0533  0.0613  0.0545
1500  650  1965.8  1559.4  0.0258  0.0281  0.0247
1500  700  2028.6  1663.4  0.0131  0.0141  0.0127
1500  750  2093.2  1766.5  0.0065  0.0069  0.0061
1500  800  2159.5  1868.9  0.0032  0.0033  0.0030
1500  900  2296.0  2071.5  0.0008  0.0008  0.0007
1500  1000  2436.7  2271.8  0.0000  0.0000  0.0000
1500  1100  2580.7  2470.0  0.0000  0.0000  0.0000
1500  1200  2726.9  2666.3  0.0000  0.0000  0.0000
1600  100  1594.8  306.8  20.5261  37.5185  52.2321
1600  150  1611.7  437.3  12.0775  25.0840  33.9815
1600  200  1634.3  562.2  7.1064  16.7706  22.1079
1600  225  1647.7  622.9  5.3396  12.1326  16.7385
1600  250  1662.5  682.9  3.6166  8.2113  10.6192
1600  275  1678.5  742.0  3.1173  6.4922  8.0155
1600  300  1695.8  800.3  2.3264  4.8425  5.7693
1600  325  1714.2  858.0  1.6197  3.0735  3.4379
1600  350  1733.8  915.1  1.1525  2.1076  2.2646
1600  375  1754.5  971.6  0.9150  1.4907  1.5156
1600  400  1776.2  1027.5  0.6547  1.0100  0.9985
1600  450  1822.5  1138.1  0.3365  0.4714  0.4449
1600  500  1872.3  1246.9  0.1673  0.2127  0.1947
1600  550  1925.3  1354.3  0.0824  0.0976  0.0858
1600  600  1981.0  1460.0  0.0402  0.0463  0.0402
1600  650  2039.3  1565.0  0.0193  0.0215  0.0189
1600  700  2099.8  1669.2  0.0091  0.0099  0.0088
1600  750  2162.1  1772.6  0.0044  0.0046  0.0041
1600  800  2226.2  1875.1  0.0021  0.0023  0.0020
1600  900  2358.8  2078.2  0.0005  0.0005  0.0004
1600  1000  2496.0  2278.9  0.0000  0.0000  0.0000
1600  1100  2636.7  2477.4  0.0000  0.0000  0.0000
1600  1200  2780.1  2673.9  0.0000  0.0000  0.0000
1700  100  1.693e+03  3.076e+02  10.7263  30.4425  43.3331
1700  150  1.709e+03  4.385e+02  8.4212  21.3955  30.3639
1700  200  1.730e+03  5.639e+02  6.6114  15.0370  21.2763
1700  225  1.742e+03  6.249e+02  4.6813  11.5056  15.3942
1700  250  1.756e+03  6.843e+02  3.0136  7.3665  10.0268
1700  275  1.771e+03  7.443e+02  2.6736  6.1962  7.7093
1700  300  1.788e+03  8.029e+02  2.0260  4.3344  5.1533
1700  325  1.805e+03  8.608e+02  1.3951  2.8742  3.2577
1700  350  1.824e+03  9.181e+02  1.0686  1.9739  2.1159
1700  375  1.843e+03  9.748e+02  0.7860  1.3401  1.3891
1700  400  1.864e+03  1.031e+03  0.5651  0.8958  0.8980
1700  450  1.908e+03  1.142e+03  0.2766  0.4007  0.3805
1700  500  1.955e+03  1.251e+03  0.1338  0.1742  0.1599
1700  550  2.006e+03  1.359e+03  0.0636  0.0771  0.0691
1700  600  2.059e+03  1.465e+03  0.0315  0.0364  0.0320
1700  650  2.115e+03  1.570e+03  0.0149  0.0164  0.0144
1700  700  2.173e+03  1.675e+03  0.0065  0.0071  0.0063
1700  750  2.233e+03  1.778e+03  0.0030  0.0032  0.0029
1700  800  2.295e+03  1.881e+03  0.0015  0.0015  0.0014
1700  900  2.424e+03  2.085e+03  0.0003  0.0003  0.0003
1700  1000  2.558e+03  2.286e+03  0.0001  0.0001  0.0001
1700  1100  2.695e+03  2.484e+03  0.0000  0.0000  0.0000
1700  1200  2.836e+03  2.681e+03  0.0000  0.0000  0.0000
1800  100  1.791e+03  3.084e+02  5.6894  24.7868  29.7183
