analysis             sr                         totalmcevents  totalnormevents  totalsumofweights  totalsumofweights2  signalsumofweights  signalsumofweights2  signalnormevents   signal_err_stat   signal_err_sys     signal_err_tot    obs      bkg      bkgerr          signaleff          eff_err_stat       eff_err_sys        eff_err_tot        s95obs  s95exp  robs               robscons           robsconssysonly    rexp               rexpcons           rexpconssysonly    likelihood             
atlas_1604_07773     EM6                        44050.0        10.5952          57.2195760408      0.265714606693      3.84871794247       0.0192339202784      0.713837487666     0.0256843466508   0.0691423933992    0.0737587705148   238.0    271.0    28.0            0.0673736680446    0.00242414929881   0.0065258223912    0.00696152696643   39.0    55.0    0.0183035253248    0.0152018744621    0.0153959990382    0.0129788634121    0.0107795109822    0.0109171629544    1.3385561198373361     
atlas_1604_07773     IM1                        44050.0        10.5952          57.2195760408      0.265714606693      22.0957981364       0.109129106008       4.1004009291       0.0611827220597   0.392572389404     0.397311472778    21447.0  21730.0  940.0           0.387005524115     0.00577456981083   0.0370519092989    0.0374991951806    1773.0  1864.0  0.00231269087936   0.00194518336929   0.00194956695459   0.00219978590617   0.0018502200181    0.0018543895979    0.2827467638895454     
atlas_1604_07773     IM2                        44050.0        10.5952          57.2195760408      0.265714606693      20.6455534484       0.102127538788       3.83155092716      0.0591878933506   0.367268152784     0.372006858497    11975.0  12340.0  570.0           0.361630825956     0.00558629316583   0.0346636356826    0.0351108859197    988.0   1178.0  0.00387808798296   0.00326058671987   0.00326845258765   0.00325258992119   0.00273468563602   0.00274128281545   0.7349767887439025     
atlas_1604_07773     IM3                        44050.0        10.5952          57.2195760408      0.265714606693      19.0188102439       0.0940538776428      3.52996857647      0.0568007041008   0.338204420808     0.342941030267    6433.0   6570.0   340.0           0.333166771412     0.00536098460632   0.0319205320152    0.032367584403     630.0   694.0   0.00560312472455   0.00471038934418   0.00472271956562   0.00508641005255   0.00427600185422   0.00428719499473   0.34621065861616995    
atlas_1604_07773     IM4                        44050.0        10.5952          57.2195760408      0.265714606693      17.2556805477       0.0852106410116      3.20314030695      0.0540652232742   0.306409909201     0.311143183799    3494.0   3390.0   200.0           0.302319947424     0.00510280346517   0.0289196909167    0.0293664285524    491.0   401.0   0.00652370734612   0.00548445109066   0.00550026080622   0.0079878810647    0.0067153752756    0.00673473330637   0.10779863516033421    
atlas_1604_07773     IM5                        44050.0        10.5952          57.2195760408      0.265714606693      13.3637234735       0.065901140362       2.48152399157      0.0475480004135   0.236917877795     0.241642076556    1170.0   1125.0   77.0            0.234212095248     0.00448769257905   0.0223608688647    0.0228067499015    196.0   164.0   0.0126608366917    0.0106389336021    0.0106784626122    0.015131243851     0.0127148230855    0.0127620650731    0.15309382500802454    
atlas_1604_07773     IM6                        44050.0        10.5952          57.2195760408      0.265714606693      9.44719620462       0.0464864958953      1.7554171054       0.0399372245139   0.167058857068     0.171766247053    423.0    441.0    39.0            0.165680412394     0.00376936957432   0.0157674094937    0.0162117040785    75.0    84.0    0.0234055614054    0.0196496061365    0.0197525410641    0.0208978226834    0.0175442911933    0.0176361973787    0.26600613679463186    
atlas_1604_07773     IM7                        44050.0        10.5952          57.2195760408      0.265714606693      5.59848205985       0.027252579365       1.04158032094      0.0305826154623   0.0979900095824    0.102651538452    185.0    167.0    20.0            0.0983068107204    0.00288645947809   0.00924852853957   0.00968849464395   61.0    48.0    0.0170750872286    0.0143152753752    0.0144406017251    0.0216995900197    0.0181923291226    0.0183515980256    0.4280706238089203     
atlas_1605_03814     2jl                        44050.0        10.5952          57.2195760408      0.265714606693      17.1064607194       0.0781504176112      3.19514645853      0.0518123208246   0.284006884078     0.288694348391    263.0    283.0    24.0            0.30156546913      0.00489016921102   0.0268052404937    0.0272476544465    44.0    54.0    0.0726169649665    0.0618565392537    0.0620312538327    0.0591693788616    0.0504016245771    0.0505439846044    0.6618096817282254     
atlas_1605_03814     2jm                        44050.0        10.5952          57.2195760408      0.265714606693      13.6873124191       0.0605684499176      2.5659859912       0.0456332940667   0.222895824627     0.227519111644    191.0    191.0    21.0            0.242183818258     0.00430697807183   0.021037434369     0.0214737911172    48.0    48.0    0.0534580414834    0.0456844718356    0.045842434142     0.0534580414834    0.0456844718356    0.045842434142     0.010476814827506422   
atlas_1605_03814     2jt                        44050.0        10.5952          57.2195760408      0.265714606693      3.38505256536       0.0125884020631      0.643596807878     0.0208482006918   0.0533679798704    0.0572956259023   26.0     23.0     4.0             0.0607441867901    0.00196770242108   0.00503699598596   0.00540769649486   17.0    14.0    0.0378586357576    0.0323312930234    0.0327101953465    0.0459712005627    0.0392594272428    0.0397195229208    0.13306892697313794    
atlas_1605_03814     4jt                        44050.0        10.5952          57.2195760408      0.265714606693      1.46188401387       0.00399074106324     0.283222386022     0.0117936532926   0.0262696149142    0.0287955365591   7.0      4.6      1.1             0.0267311977142    0.00111311285229   0.00247938829981   0.00271779075044   8.7     6.3     0.0325542972439    0.0271261731109    0.0276023238577    0.0449559342892    0.0374599533436    0.0381174948512    0.6259263847718389     
atlas_1605_03814     5j                         44050.0        10.5952          57.2195760408      0.265714606693      1.74076120287       0.00573781402254     0.332407791784     0.0140907610782   0.0272136130201    0.0306452326043   7.0      13.2     2.2             0.0313734324773    0.00132991931046   0.00256848507061   0.00289236943185   5.4     8.7     0.0615569984785    0.0522499278357    0.0532921234131    0.0382077921591    0.0324309896911    0.0330778697047    2.9983965887617665     
atlas_1605_03814     6jm                        44050.0        10.5952          57.2195760408      0.265714606693      0.831608691876      0.00250917612429     0.159627447372     0.00933002830884  0.0134637093745    0.0163805036054   4.0      6.9      1.5             0.0150660154949    0.000880590107675  0.00127073668968   0.00154603061815   5.4     6.6     0.0295606384022    0.0245858187887    0.0254716599996    0.0241859768746    0.0201156699181    0.0208404490906    1.251899385377215      
atlas_1605_03814     6jt                        44050.0        10.5952          57.2195760408      0.265714606693      0.747287688392      0.00186969920531     0.144966698073     0.00808056635445  0.0135194382634    0.0157502623333   3.0      4.2      1.2             0.01368229935      0.00076266293741   0.00127599651384   0.00148654695837   5.0     5.7     0.0289933396145    0.0238272535692    0.0245589638641    0.0254327540479    0.0209010996221    0.021542950758     0.36340843441048665    
atlas_1605_04285     2jSoftLep                  44050.0        10.5952          57.2195760408      0.265714606693      0.268982188484      0.00120741708911     0.0501524205874    0.00643902314864  0.00441154000907   0.00780529976109  2.0      3.6      0.7             0.00473350390624   0.00060773021261   0.000416371565338  0.000736682626197  4.3     5.3     0.011663353625     0.00868644859982   0.00998081278431   0.00946272086555   0.00704749603381   0.00809764056085   0.8053907542307601     
atlas_1605_04285     4jHighX                    44050.0        10.5952          57.2195760408      0.265714606693      0.00890966385968    3.35414981016e-05    0.00170879933759   0.175805610405    0.000157406929598  0.175805680872    0.0      0.9      0.5             0.000161280517365  0.016592948732     1.4856437783e-05   0.0165929553828    2.8     2.9     0.000610285477711  0                  0.000518089990375  0.000589241150893  0                  0.000500224818293  1.6040620706507474     
atlas_1605_04285     4jLowX                     44050.0        10.5952          57.2195760408      0.265714606693      0.0149452545863     3.63436590882e-05    0.00293600301699   0.175805939881    0.000325380286041  0.175806240986    1.0      1.3      0.5             0.000277106899067  0.0165929798287    3.07101598876e-05  0.0165930082477    3.9     4.1     0.000752821286409  0                  0.000615994704586  0.000716098296828  0                  0.000585946182411  0.0694087122447591     
atlas_1605_04285     5j                         44050.0        10.5952          57.2195760408      0.265714606693      0.140783119476      0.00045527326674     0.0270211966404    0.00397262951114  0.0023217831315    0.00460135438132  0.0      1.3      0.6             0.00255032435824   0.000374946155914  0.000219135375594  0.000434286694099  2.8     3.5     0.00965042737159   0.00695534837681   0.00829052582314   0.00772034189727   0.00556427870145   0.00663242065851   2.351814078874245      
atlas_1605_04285     5jSoftLep                  44050.0        10.5952          57.2195760408      0.265714606693      0.140783119476      0.00045527326674     0.0270211966404    0.00397262951114  0.0023217831315    0.00460135438132  9.0      7.7      1.9             0.00255032435824   0.000374946155914  0.000219135375594  0.000434286694099  9.2     8.1     0.00293708659135   0.00211684515816   0.00252320351139   0.00333595020252   0.00240431795742   0.00286586077837   0.11967713322368181    
atlas_1605_04285     6j                         44050.0        10.5952          57.2195760408      0.265714606693      0.016890762205      6.66518879329e-05    0.00322879582883   0.175808860722    0.000295116165173  0.175809108416    10.0     4.4      1.0             0.000304741376174  0.0165932555046    2.78537606816e-05  0.0165932788825    12.5    6.5     0.000258303666307  0                  0.000219584425436  0.000496737819821  0                  0.000422277741223  3.759150202015981      
