#: table_doi: 10.17182/hepdata.77815.v1/t1
#: name: Table 1
#: description: Distributions of the $R(K^{*0})$ delta log-likelihood, $-(\ln L - \ln L_{best})$, for the three trigger categories combined in the low-q2 bin ($0.045 < q^2 < 1.1$ GeV$^{2}/c^4$).
#: data_file: data1.yaml
#: keyword reactions: P P --> B0 X | B0 --> K*(892)0 LEPTON+ LEPTON-
#: keyword observables: RATIO
#: keyword cmenergies: 7000.0 | 8000.0
#: keyword phrases: Lepton universality | $R_{K^{*0}}$ | B mesons | Proton-Proton Scattering | branching fraction ratio
#: RE,P P --> B0 < K*(892)0 LEPTON+ LEPTON- > X
#: SQRT(S) [GEV],7000, 8000
'R(K*)','-(ln L - ln L_best)'
'1.663','17.231'
'1.667','17.298'
'1.671','17.366'
'1.674','17.433'
'1.678','17.500'
'1.681','17.567'
'1.685','17.634'
'1.689','17.701'
'1.692','17.767'
'1.696','17.834'
'1.699','17.900'
'1.703','17.967'
'1.707','18.033'
'1.710','18.099'
'1.714','18.165'
'1.717','18.232'
'1.721','18.297'
'1.725','18.363'
'1.728','18.429'
'1.732','18.495'
'1.735','18.560'
'1.739','18.626'
'1.743','18.691'
'1.746','18.756'
'1.750','18.822'
'1.753','18.887'
'1.757','18.952'
'1.761','19.016'
'1.764','19.081'
'1.768','19.146'
'1.771','19.211'
'1.775','19.275'
'1.779','19.339'
'1.782','19.404'
'1.786','19.468'
'1.789','19.532'
'1.793','19.596'
'1.797','19.660'
'1.800','19.724'
'1.804','19.788'
'1.807','19.851'
'1.811','19.915'
'1.815','19.978'
'1.818','20.041'
'1.822','20.105'
'1.825','20.168'
'1.829','20.231'
'1.833','20.294'
'1.836','20.356'
'1.840','20.419'
'1.843','20.482'
'1.847','20.544'
'1.851','20.607'
'1.854','20.669'
'1.858','20.731'
'1.861','20.793'
'1.865','20.855'
'1.869','20.917'
'1.872','20.979'
'1.876','21.041'
'1.879','21.102'
'1.883','21.164'
'1.887','21.225'
'1.890','21.286'
'1.894','21.348'
'1.897','21.409'
'1.901','21.470'
'1.905','21.531'
'1.908','21.591'
'1.912','21.652'
'1.915','21.713'
'1.919','21.773'
'1.923','21.833'
'1.926','21.894'
'1.930','21.954'
'1.933','22.014'
'1.937','22.074'
'1.941','22.134'
'1.944','22.194'
'1.948','22.253'
'1.951','22.313'
'1.955','22.372'
'1.959','22.431'
'1.962','22.491'
'1.966','22.550'
'1.969','22.609'
'1.973','22.668'
'1.977','22.727'
'1.980','22.785'
'1.984','22.844'
'1.987','22.902'
'1.991','22.961'
'1.995','23.019'
'1.998','23.077'

